实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
Du62,模拟退火算法,5513,"[array([31, 14, 10, 29, 53, 15]), array([35, 62,  4, 48, 41, 50]), array([20, 39, 52, 45, 49, 46, 56, 26]), array([18, 37, 21, 32, 22, 25, 40]), array([59,  3, 42, 38, 44, 61]), array([58, 16, 47,  8, 60, 30]), array([11,  2,  1, 27, 12, 51]), array([34, 28, 55, 23, 19, 43]), array([57,  6, 33,  5, 54]), array([17, 24,  9, 36,  7, 13])]",4457241.58906933,2025-03-28 14:43:03.233072,2025-03-28 14:43:08.248035,2025-03-28 14:43:08.906764,5.673692,5.014963,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([ 8, 14, 52, 13, 62, 44, 51,  9]), array([25, 10, 16, 12, 47,  2, 23]), array([28, 29, 30, 24, 36, 31]), array([43, 11, 27,  4, 59, 38]), array([57, 53, 21, 40, 46, 41]), array([54, 56, 20, 60, 37, 18, 35, 58, 42]), array([32, 50, 39,  5,  3,  1, 22]), array([49,  7, 19, 61, 15, 33,  6, 55]), array([17, 26, 48, 45, 34])]",4397151.0364913,2025-03-28 14:43:08.910826,2025-03-28 14:43:11.735076,2025-03-28 14:43:14.628697,5.717871,2.82425,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([31, 25, 37, 57,  7, 54, 10]), array([51, 30, 58,  9, 35,  3]), array([28, 56, 12, 19, 40, 13,  2]), array([60, 43, 32,  6, 61, 41]), array([55, 26, 29, 52, 59, 21, 23, 39, 11, 42,  1]), array([44,  8, 16, 48,  5, 49]), array([53, 20, 27, 38, 45, 24, 47,  4]), array([14, 34, 22, 46, 15, 50]), array([33, 36, 62, 18, 17])]",4468819.400810042,2025-03-28 14:43:14.632506,2025-03-28 14:43:16.096711,2025-03-28 14:43:20.341814,5.709308,1.464205,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([ 3, 15, 17, 32,  6, 25, 10, 30, 22]), array([ 5, 59, 54, 29, 58,  4,  1, 12,  2, 55,  9]), array([49, 43, 31, 36, 52, 61, 41, 33]), array([51, 27, 23, 40, 21, 39, 48]), array([42, 45, 60, 19, 57, 38, 18, 20, 50]), array([37, 28, 44, 56, 16,  7]), array([ 8, 53, 47, 11, 26]), array([34, 35, 13, 62, 46, 24, 14])]",4437445.388781773,2025-03-28 14:43:20.346384,2025-03-28 14:43:21.362760,2025-03-28 14:43:26.032538,5.686154,1.016376,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([62, 31, 42,  7, 35, 46]), array([ 4, 45, 33, 15, 48]), array([ 5, 10, 13, 53, 32]), array([50, 52, 22, 29, 36, 49, 34,  2, 16, 27, 20, 12]), array([19, 28, 30, 26, 18, 59, 47]), array([23,  3, 44, 57, 11, 25]), array([43, 41, 24, 54, 58, 61]), array([ 6, 39,  8, 38, 37, 55, 17]), array([ 1, 14, 60, 56, 51,  9, 21, 40])]",4487597.412614503,2025-03-28 14:43:26.036541,2025-03-28 14:43:29.417926,2025-03-28 14:43:31.798515,5.761974,3.381385,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([26, 55,  7, 12, 22, 13,  1, 34]), array([42, 20, 57, 48, 54, 35, 56, 21, 11, 23]), array([44, 30, 18, 32, 36, 47]), array([46,  3, 37, 16, 38, 24, 29, 41, 52, 58]), array([ 4, 17, 19,  5,  2, 14, 59, 45, 31]), array([62, 25, 43, 51, 50,  6, 60, 61, 27,  8]), array([49, 39, 15, 40, 28,  9, 10, 53, 33])]",4455210.914289572,2025-03-28 14:43:31.802656,2025-03-28 14:43:33.021062,2025-03-28 14:43:37.425523,5.622867,1.218406,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([15, 14, 52, 43,  3, 51, 31]), array([60, 47, 17, 10,  2, 50]), array([11, 34, 48, 62, 59, 37]), array([61, 57, 12, 55, 46]), array([27, 29, 38, 28, 20, 21,  4]), array([44,  9, 16,  8, 22, 45]), array([42,  1, 32, 54, 30, 23, 53, 18, 41]), array([13, 25, 56, 19, 39, 40, 49, 35]), array([ 6, 58, 36, 33,  7,  5, 26, 24])]",4529682.196983012,2025-03-28 14:43:37.429614,2025-03-28 14:43:39.903060,2025-03-28 14:43:43.200381,5.770767,2.473446,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([48, 49, 30, 56, 60, 52]), array([54,  7, 61, 21, 27,  9, 45]), array([58, 37, 12, 25, 43, 29, 35, 50]), array([19, 36, 39, 51, 53, 31]), array([13, 16, 32,  4, 57, 38, 28,  2, 59, 62]), array([17, 26, 42, 46,  8, 33, 11, 34, 47]), array([15, 24, 20, 18, 55, 14]), array([ 5, 41,  6, 44,  1, 23, 40, 10,  3, 22])]",4532402.383040208,2025-03-28 14:43:43.204449,2025-03-28 14:43:45.874918,2025-03-28 14:43:48.855411,5.650962,2.670469,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([45, 37, 47, 58, 52, 11, 46, 17]), array([18, 39, 33,  5, 40,  8, 50]), array([15, 22, 56, 30, 21, 29, 44, 16, 62]), array([59, 38, 31, 60, 32, 51, 41, 34]), array([36, 24,  3,  4, 54,  7, 55, 19,  2, 61]), array([13, 12, 26, 27,  9, 49,  1]), array([20, 23, 14, 35, 53, 57, 10]), array([48, 42,  6, 43, 25, 28])]",4484089.677401986,2025-03-28 14:43:48.859345,2025-03-28 14:43:51.099298,2025-03-28 14:43:54.588948,5.729603,2.239953,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([29, 31, 32,  5, 30, 19]), array([27, 44, 52, 21, 43,  9, 37]), array([18, 48, 23, 39, 14]), array([42, 47, 16,  1, 36]), array([46, 34, 60, 56,  4, 50, 28, 62, 53]), array([54,  2,  3, 59, 57, 61, 13, 10]), array([ 8, 35, 45, 26, 58, 20,  6]), array([17, 33, 24, 49, 38, 22]), array([ 7, 15, 41, 51, 12, 25, 11, 40, 55])]",4517108.8762153005,2025-03-28 14:43:54.593181,2025-03-28 14:43:55.319090,2025-03-28 14:44:00.405089,5.811908,0.725909,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([28, 40, 49, 56,  5, 47,  9,  4]), array([39, 33,  7, 24, 36, 18, 35]), array([29, 54, 50, 34, 53, 20,  2]), array([14, 58, 52, 60, 27, 12, 19, 23]), array([45,  1,  8, 21, 31, 22, 30, 16, 55]), array([38, 25, 61, 44, 57, 32, 43, 59,  6]), array([15, 13, 11, 42, 17]), array([51, 48, 62, 46,  3, 41, 10, 37, 26])]",4432661.715494424,2025-03-28 14:44:52.629310,2025-03-28 14:44:57.056865,2025-03-28 14:44:58.320231,5.690921,4.427555,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([19, 15, 23, 35, 57, 45]), array([49,  6, 10, 53,  3, 14]), array([41, 39,  1, 11, 37, 54, 61, 24, 60]), array([ 5, 17,  7, 31,  4, 28, 25, 13, 55]), array([42, 50, 56, 43, 44, 52, 38, 59, 16,  2]), array([20, 21, 32, 33, 34, 29, 18]), array([51, 62, 36, 47, 22, 46, 26]), array([40, 48, 27, 30,  8, 58, 12,  9])]",4513148.002428937,2025-03-28 14:44:58.324633,2025-03-28 14:45:00.774331,2025-03-28 14:45:03.828722,5.504089,2.449698,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([31, 54, 40, 33,  2, 39]), array([ 6, 30, 25, 45, 41]), array([ 8,  5, 23, 10, 19]), array([42, 20, 28, 44,  3, 15]), array([59, 51, 36, 27, 55, 14]), array([ 1, 57, 62, 58, 29, 47, 50]), array([12, 13, 56, 32, 38, 35, 43, 37]), array([11, 26,  4, 16, 61]), array([18, 24, 34, 21, 49, 52,  7]), array([ 9, 48, 60, 46, 17, 22, 53])]",4457900.057531745,2025-03-28 14:45:03.832944,2025-03-28 14:45:08.142980,2025-03-28 14:45:09.501217,5.668273,4.310036,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([55, 21,  1, 34, 25, 13]), array([15, 45, 16, 38, 57, 30, 54]), array([20, 41, 43, 24, 44, 50]), array([28, 26,  5, 36,  4, 22, 14]), array([42,  3, 60, 27, 52, 18]), array([56, 31, 11, 35, 62, 61]), array([19, 51, 32, 29, 47, 10, 23]), array([59,  6, 40, 12,  8,  2,  7]), array([ 9, 53, 48, 37, 39, 58, 17, 46, 49, 33])]",4423200.325348252,2025-03-28 14:45:09.505073,2025-03-28 14:45:11.154383,2025-03-28 14:45:15.052837,5.547764,1.64931,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([19, 41, 23, 58,  6,  9, 37]), array([39, 29, 22, 53, 17, 46, 62]), array([13,  4, 50, 38, 52, 44, 28]), array([11, 61, 36,  2, 10, 56,  7]), array([25, 32,  8, 20, 48, 49]), array([26, 35, 33, 43, 40, 54]), array([45, 15, 31, 16, 59, 21, 47, 27]), array([34, 18, 42, 60, 12, 57, 24]), array([51,  3, 30,  5, 14,  1, 55])]",4485667.814798006,2025-03-28 14:45:15.056758,2025-03-28 14:45:17.289509,2025-03-28 14:45:20.664087,5.607329,2.232751,包含修复动作算子-K分初始解
